huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
32,461.55,3,10.55,pass,1610612739,2747,72.9061,46.17203,88,"[0, 0, 0, 0, 0]",2590,61.70713,28.66089,0
32,460.63,3,9.63,shot,1610612739,2590,62.41882,27.92546,44,"[0, 0, 1, 0, 0]",,,,0
33,255.34,3,23.44,pass,1610612739,2544,82.21126,40.31887,99,"[0, 0, 0, 0, 0]",203521,86.82978,38.09023,0
33,253.9,3,22,shot,1610612739,203521,86.47807,39.95296,99,"[0, 0, 0, 1, 1]",,,,0
34,104.86,3,12.57,pass,1610612739,202684,68.43202,17.12965,55,"[0, 1, 0, 0, 0]",2592,87.65554,16.48196,0
34,104.62,3,12.36,pass,1610612739,2592,87.84385,16.01309,33,"[0, 1, 0, 0, 1]",2544,62.25134,14.42705,0
34,103.09,3,11.19,shot,1610612739,2544,72.00183,5.58071,22,"[0, 0, 0, 0, 1]",,,,0
35,688.99,3,17.23,pass,1610612739,201567,76.14098,3.43524,22,"[0, 1, 0, 0, 0]",2747,90.73539,2.07682,0
35,688.95,3,17.19,pass,1610612739,2747,90.73539,2.07682,33,"[0, 1, 0, 0, 0]",201567,75.9372,3.48053,0
35,688.75,3,16.99,shot,1610612739,201567,75.54877,3.5515,22,"[0, 1, 0, 0, 0]",,,,0
36,657.03,3,19.41,pass,1610612739,202389,58.00006,28.20546,44,"[0, 0, 0, 0, 0]",2590,72.24813,28.08718,0
36,656.99,3,19.37,shot,1610612739,2590,72.24813,28.08718,55,"[0, 0, 0, 0, 0]",,,,2
37,575.71,3,18.12,pass,1610612739,2590,52.55523,28.4461,44,"[0, 0, 1, 1, 0]",202389,65.70631,34.55521,0
37,575.03,3,17.55,pass,1610612739,202389,65.38636,34.82514,88,"[1, 0, 1, 0, 1]",2590,60.72929,35.05079,0
37,573.82,3,16.54,shot,1610612739,2590,80.01805,38.9813,99,"[0, 0, 1, 0, 0]",,,,0
38,516.5,3,14.68,pass,1610612739,201567,68.83164,15.81599,22,"[0, 0, 0, 0, 1]",2590,53.4059,14.23584,0
38,516.22,3,14.42,pass,1610612739,2590,53.63789,14.12292,11,"[0, 0, 0, 1, 1]",201567,70.26742,14.03164,0
38,515.82,3,14.05,pass,1610612739,201567,71.76319,13.04542,22,"[0, 0, 1, 1, 1]",2590,52.81474,14.17951,0
38,506.94,3,5.8,pass,1610612739,2590,57.90151,11.25368,11,"[0, 0, 0, 0, 0]",201567,64.73757,8.85402,0
38,506.7,3,5.57,pass,1610612739,201567,65.22479,9.53041,22,"[0, 0, 0, 0, 0]",2590,59.07781,9.60231,0
38,506.02,3,4.94,shot,1610612739,2590,62.61656,7.86775,22,"[0, 0, 0, 1, 0]",,,,0
39,490.64,3,19.91,pass,1610612739,202389,78.97767,29.06844,66,"[0, 0, 0, 0, 1]",2590,67.62857,42.59481,0
39,485,3,14,pass,1610612739,2590,66.2903,0.33737,22,"[0, 0, 1, 0, 0]",201567,67.31592,14.18826,0
39,484.88,3,13.92,pass,1610612739,201567,67.22777,14.29231,22,"[0, 0, 1, 0, 0]",2747,83.29676,14.30538,0
39,483.98,3,13.06,pass,1610612739,2747,84.87321,10.5557,33,"[0, 0, 1, 1, 0]",2590,64.11304,9.18989,0
39,483.64,3,12.73,pass,1610612739,2590,66.08166,8.92933,22,"[0, 0, 1, 1, 0]",2747,84.91438,8.84681,0
39,483.39,3,12.48,pass,1610612739,2747,84.69715,8.04017,33,"[0, 0, 1, 1, 0]",2590,68.21956,8.57758,0
39,483.22,3,12.32,shot,1610612739,2590,68.92281,8.55111,22,"[0, 0, 0, 1, 0]",,,,0
40,389.06,3,21.65,pass,1610612739,201567,33.58866,4.45276,3,"[0, 0, 0, 0, 0]",2590,59.85459,4.33431,0
40,388.77,3,21.46,shot,1610612739,2590,63.47012,4.94705,22,"[0, 0, 0, 0, 0]",,,,0
41,361.39,3,20.22,pass,1610612739,2590,58.27819,37.69885,77,"[0, 0, 1, 1, 0]",2747,79.30421,37.91565,0
41,361.27,3,20.09,pass,1610612739,2747,79.86177,38.552,99,"[0, 0, 0, 1, 0]",2590,66.03661,35.15326,0
41,360.62,3,19.41,pass,1610612739,2590,74.5253,32.02808,55,"[1, 0, 0, 1, 0]",201567,84.37458,24.57141,0
41,359.94,3,18.69,shot,1610612739,201567,84.79916,25.3613,66,"[1, 0, 0, 1, 0]",,,,0
42,335.44,3,16.88,pass,1610612739,202389,65.93834,28.15534,55,"[0, 0, 0, 0, 0]",2590,84.47665,31.41284,0
42,334.88,3,16.32,pass,1610612739,2590,88.10257,32.71257,66,"[0, 0, 1, 0, 1]",2544,76.41374,33.20749,0
42,334.28,3,15.72,shot,1610612739,2544,76.41374,33.20749,88,"[0, 0, 0, 0, 0]",,,,0
43,281.12,3,16.79,pass,1610612739,2590,56.68192,27.35038,44,"[0, 0, 0, 0, 0]",2592,61.63292,30.03385,0
43,277,3,12.55,pass,1610612739,2592,65.37284,25.19523,55,"[1, 0, 0, 0, 0]",202684,89.14155,29.53652,0
43,276.88,3,12.42,shot,1610612739,202684,89.12775,29.88837,66,"[1, 0, 0, 0, 0]",,,,0
44,177.43,3,15.05,pass,1610612739,2590,55.47381,16.41219,11,"[0, 0, 0, 0, 1]",2747,76.49483,16.42824,0
44,177.39,3,15.01,shot,1610612739,2747,76.49483,16.42824,22,"[0, 0, 0, 0, 1]",,,,0
45,149.39,3,11.86,pass,1610612739,202684,71.03204,36.9952,88,"[0, 0, 0, 0, 0]",203521,66.59106,40.95576,0
45,147.36,3,9.75,pass,1610612739,203521,63.56401,37.13152,88,"[0, 0, 0, 1, 0]",202684,70.48325,38.99275,0
45,147.04,3,9.42,pass,1610612739,202684,69.67071,39.25748,88,"[0, 0, 0, 1, 0]",203521,65.08627,39.42001,0
45,143.77,3,6.03,shot,1610612739,203521,88.4207,19.01965,66,"[0, 0, 0, 0, 1]",,,,0
46,86.7,3,17.14,pass,1610612739,203521,56.70294,5.53512,11,"[1, 0, 0, 0, 0]",2210,80.02208,8.65356,0
46,80.27,3,11.01,pass,1610612739,2210,67.41775,12.34583,22,"[0, 1, 0, 0, 0]",2592,73.75534,13.78414,0
46,80.19,3,10.93,pass,1610612739,2592,73.71883,13.69722,22,"[0, 1, 0, 0, 0]",2210,67.28259,13.79598,0
46,74.09,3,5.1,shot,1610612739,2210,74.79484,34.78181,88,"[0, 0, 0, 0, 0]",,,,0
47,672.35,3,11.66,pass,1610612739,203521,23.22452,13.56295,2,"[0, 0, 0, 1, 0]",201567,17.1758,15.25831,0
47,672.23,3,11.53,pass,1610612739,201567,16.81508,15.53905,2,"[0, 0, 0, 1, 0]",202389,7.35209,26.11248,0
47,671.75,3,11.03,shot,1610612739,202389,7.30666,26.05384,4,"[0, 0, 0, 1, 0]",,,,0
48,634.27,3,21.47,pass,1610612739,202389,61.74993,21.79722,44,"[0, 0, 0, 0, 1]",203521,30.1475,24.55043,0
48,633.72,3,20.91,pass,1610612739,203521,34.48264,23.58524,6,"[0, 0, 0, 0, 0]",202389,65.49359,20.58261,0
48,633.63,3,20.83,pass,1610612739,202389,65.71375,20.45836,55,"[0, 0, 0, 0, 0]",203521,35.48203,23.42968,0
48,631.72,3,18.9,pass,1610612739,203521,51.77221,25.08175,44,"[0, 0, 0, 0, 0]",201567,64.46436,30.93812,0
48,630.88,3,18.06,pass,1610612739,201567,63.5563,31.01839,55,"[0, 1, 0, 1, 0]",203521,60.05027,31.07216,0
48,627.77,3,14.94,shot,1610612739,203521,69.9441,40.25073,88,"[0, 1, 0, 0, 1]",,,,3
